,mean_score,score_std,win_prob,win_prob_std,sense_prob,sense_std
chimpanzee,0.05128205128205128,1.844646659393277,0.5213675213675214,0.44721501334537717,0.8076923076923076,0.21747286268271393
jelly_fish,-0.8717948717948716,1.586079513831589,0.30982905982905984,0.36490995722995556,0.7158119658119658,0.21963774947650633
autonomous_car,-0.16880341880341876,1.8210243204512628,0.47435897435897423,0.4553226741428134,0.7649572649572648,0.2148830262364544
virus,-0.12179487179487174,1.7801104396872984,0.4807692307692307,0.4657556568168924,0.7350427350427353,0.22252386616444816
human,1.715811965811966,1.3042384339099633,0.8589743589743587,0.2441325955709156,0.8846153846153844,0.14186477324849528
robot,-0.029914529914529912,1.8981246112538166,0.5021367521367521,0.4868430684063476,0.797008547008547,0.21695274197704606
rock,-1.8760683760683763,1.0086366924205128,0.08547008547008544,0.16057542177359663,0.7243589743589743,0.242487829482791
artificial_intelligence,0.5491452991452991,1.7900140508877886,0.6431623931623933,0.44009189990036285,0.8205128205128205,0.18664139706708938
god,0.5683760683760686,1.275333962801254,0.5961538461538463,0.28871887728310797,0.7329059829059831,0.23037777947434762
computer,0.1837606837606837,1.8768123000450732,0.5277777777777778,0.4587193415656875,0.7905982905982906,0.2385602742721691
