,mean_score,score_std,win_prob,win_prob_std,reaction_time_mean,reaction_time_std,sense_prob,sense_std
jelly_fish,0.4566210045662101,2.128898764308248,0.6255707762557078,0.47494976057783006,8588.435159814326,9851.102678809717,,
robot,-0.984779299847793,1.8353757481373618,0.3044140030441397,0.4470387475025455,7226.857990866683,5144.616455893978,,
virus,-0.030441400304414012,2.013610137698115,0.5251141552511417,0.4655453154336886,7398.798782340759,6118.0564248738,,
chimpanzee,1.2891933028919331,1.9490539228777968,0.7595129375951293,0.4132991079959361,6611.637138504415,4938.048751443731,,
human,1.9589041095890412,1.4283117834435257,0.8523592085235916,0.265892402831632,7531.520091326103,6815.96329386129,,
artificial_intelligence,-0.10502283105022829,2.071150538375861,0.5144596651445966,0.47475319830630874,7960.452359211464,6949.706442055643,,
god,1.3607305936073055,0.9801640355184015,0.7473363774733636,0.19417092126799704,6611.676407917457,5267.123092755322,,
rock,-1.71689497716895,1.0612071712426308,0.1278538812785388,0.15512322509683024,6898.473211572507,5076.02854590109,,
autonomous_car,-1.0624048706240488,1.8029049668833679,0.2876712328767121,0.43119259850071284,7988.5677321143685,6738.375485862279,,
computer,-1.1659056316590561,1.770432908927939,0.25570776255707744,0.42699688539607444,7116.445966519363,5215.109639988773,,
