,robot,rock,artificial_intelligence,chimpanzee,jelly_fish,virus,human,god,autonomous_car,computer
robot,,8137.277631585612,8161.0644736733,5804.707894743821,4802.54210525495,6456.218421041668,6338.892105264012,7769.148684217379,7814.290789478255,7371.41578947375
rock,8137.277631585612,,6336.023684199852,5762.423684212767,5439.456578950037,6239.065789489273,5511.618421067188,7051.913157886104,5601.251315791463,6604.722368431965
artificial_intelligence,8161.0644736733,6336.023684199852,,8959.450000006875,6231.260526324183,7637.940789475674,7520.871052637864,5500.655263160628,5458.780263153124,5648.698684221675
chimpanzee,5804.707894743821,5762.423684212767,8959.450000006875,,6785.886842106895,7254.011842110456,6357.657894730216,5423.360526315474,8538.510526307027,7215.232894726975
jelly_fish,4802.54210525495,5439.456578950037,6231.260526324183,6785.886842106895,,6583.703947365141,7680.986842088182,6004.061842093854,6080.281578955971,5295.2355263212885
virus,6456.218421041668,6239.065789489273,7637.940789475674,7254.011842110456,6583.703947365141,,5465.20394736026,6355.701315782971,7365.321052618686,6430.0960526191475
human,6338.892105264012,5511.618421067188,7520.871052637864,6357.657894730216,7680.986842088182,5465.20394736026,,6007.452631581752,7016.289473688908,6532.028947365067
god,7769.148684217379,7051.913157886104,5500.655263160628,5423.360526315474,6004.061842093854,6355.701315782971,6007.452631581752,,6867.572368411125,5256.561842117324
autonomous_car,7814.290789478255,5601.251315791463,5458.780263153124,8538.510526307027,6080.281578955971,7365.321052618686,7016.289473688908,6867.572368411125,,6818.469736841567
computer,7371.41578947375,6604.722368431965,5648.698684221675,7215.232894726975,5295.2355263212885,6430.0960526191475,6532.028947365067,5256.561842117324,6818.469736841567,
